constructorResultsId,raceId,constructorId,points
1,18,1,1400
2,18,2,800
3,18,3,900
4,18,4,500
5,18,5,200
6,18,6,100
7,18,7,0
8,18,8,0
9,18,9,0
10,18,10,0
11,18,11,0
12,19,6,1000
13,19,2,1100
14,19,1,1000
15,19,7,500
16,19,9,200
17,19,4,100
18,19,11,0
19,19,10,0
20,19,3,0
21,19,8,0
22,19,5,0
23,20,6,1800
24,20,2,1100
25,20,1,400
26,20,7,300
27,20,9,200
28,20,3,100
29,20,4,0
30,20,11,0
31,20,10,0
32,20,5,0
33,20,8,0
34,21,6,1800
35,21,1,600
36,21,2,500
37,21,9,400
38,21,11,300
39,21,3,200
40,21,7,100
41,21,10,0
42,21,8,0
43,21,4,0
44,21,5,0
45,22,6,1600
46,22,1,800
47,22,2,900
48,22,4,300
49,22,9,200
50,22,3,100
51,22,7,0
52,22,11,0
53,22,10,0
54,22,5,0
55,23,1,1100
56,23,2,800
57,23,6,600
58,23,9,500
59,23,5,400
60,23,11,300
61,23,3,200
62,23,4,0
63,23,7,0
64,23,10,0
65,24,2,1800
66,24,9,600
67,24,7,800
68,24,6,400
69,24,11,200
70,24,5,100
71,24,1,0
72,24,3,0
73,24,10,0
74,24,4,0
75,25,6,1800
76,25,7,600
77,25,1,500
78,25,2,400
79,25,9,300
80,25,4,300
81,25,5,0
82,25,11,0
83,25,3,0
84,25,10,0
85,26,1,1400
86,26,2,800
87,26,11,600
88,26,6,500
89,26,4,300
90,26,7,200
91,26,3,100
92,26,9,0
93,26,5,0
94,26,10,0
95,27,1,1400
96,27,4,800
97,27,6,900
98,27,2,700
99,27,5,100
100,27,7,0
101,27,3,0
102,27,9,0
103,27,10,0
104,27,11,0
105,28,1,1400
106,28,7,1000
107,28,6,600
108,28,4,800
109,28,2,100
110,28,9,0
111,28,11,0
112,28,3,0
113,28,10,0
114,28,5,0
115,29,6,1000
116,29,1,1300
117,29,2,600
118,29,7,600
119,29,5,300
120,29,3,100
121,29,4,0
122,29,9,0
123,29,11,0
124,29,10,0
125,30,6,1000
126,30,2,1100
127,30,1,600
128,30,4,500
129,30,5,600
130,30,9,100
131,30,7,0
132,30,3,0
133,30,10,0
134,30,11,0
135,31,5,1000
136,31,1,1000
137,31,2,1000
138,31,4,500
139,31,6,300
140,31,9,100
141,31,7,0
142,31,3,0
143,31,11,0
144,31,10,0
145,32,4,1000
146,32,3,900
147,32,1,600
148,32,7,500
149,32,5,400
150,32,2,300
151,32,9,200
152,32,11,0
153,32,6,0
154,32,10,0
155,33,4,1500
156,33,2,800
157,33,6,800
158,33,7,400
159,33,5,300
160,33,9,100
161,33,3,0
162,33,1,0
163,33,11,0
164,33,10,0
165,34,1,1000
166,34,6,1400
167,34,4,600
168,34,2,700
169,34,7,200
170,34,5,0
171,34,9,0
172,34,11,0
173,34,3,0
174,34,10,0
175,35,6,1600
176,35,4,800
177,35,5,500
