qualifyId,raceId,driverId,constructorId,position
1,18,1,1,1
2,18,9,2,2
3,18,5,1,3
4,18,13,6,4
5,18,2,2,5
6,18,15,7,6
7,18,3,3,7
8,18,14,9,8
9,18,10,7,9
10,18,20,5,10
11,18,22,11,11
12,18,4,4,12
13,18,18,11,13
14,18,6,3,14
15,18,17,9,15
16,18,8,6,16
17,18,21,10,17
18,18,7,5,18
19,18,16,10,19
20,18,11,8,20
21,18,12,4,21
22,18,19,8,22
23,19,13,6,1
24,19,8,6,2
25,19,5,1,3
26,19,1,1,4
27,19,15,7,5
28,19,9,2,6
29,19,2,2,7
30,19,17,9,8
31,19,4,4,9
32,19,10,7,10
33,19,18,11,11
34,19,14,9,12
35,19,12,4,13
36,19,22,11,14
37,19,20,5,15
38,19,3,3,16
39,19,21,10,17
40,19,6,3,18
41,19,7,5,19
42,19,11,8,20
43,19,16,10,21
44,19,19,8,22
45,20,9,2,1
46,20,13,6,2
47,20,1,1,3
48,20,8,6,4
49,20,5,1,5
50,20,2,2,6
51,20,15,7,7
52,20,3,3,8
53,20,18,11,9
54,20,4,4,10
55,20,17,9,11
56,20,22,11,12
57,20,10,7,13
58,20,12,4,14
59,20,7,5,15
60,20,6,3,16
61,20,14,9,17
62,20,21,10,18
63,20,20,5,19
64,20,16,10,20
65,20,19,8,21
66,20,11,8,22
67,21,8,6,1
68,21,4,4,2
69,21,13,6,3
70,21,9,2,4
71,21,1,1,5
72,21,5,1,6
73,21,17,9,7
74,21,15,7,8
75,21,2,2,9
76,21,12,4,10
77,21,22,11,11
78,21,6,3,12
79,21,18,11,13
80,21,10,7,14
81,21,3,3,15
82,21,7,5,16
83,21,14,9,17
84,21,20,5,18
85,21,21,10,19
86,21,16,10,20
87,21,19,8,21
88,21,11,8,22
89,22,13,6,1
90,22,5,1,2
91,22,1,1,3
92,22,8,6,4
93,22,9,2,5
94,22,17,9,6
95,22,4,4,7
96,22,15,7,8
97,22,2,2,9
98,22,14,9,10
99,22,3,3,11
100,22,22,11,12
101,22,18,11,13
102,22,20,5,14
103,22,10,7,15
104,22,6,3,16
105,22,12,4,17
106,22,7,5,18
107,22,21,10,19
108,22,16,10,20
109,23,13,6,1
110,23,8,6,2
111,23,1,1,3
112,23,5,1,4
113,23,9,2,5
114,23,3,3,6
115,23,4,4,7
116,23,15,7,8
117,23,17,9,9
118,23,14,9,10
119,23,10,7,11
120,23,18,11,12
121,23,2,2,13
122,23,6,3,14
123,23,22,11,15
124,23,7,5,16
125,23,12,4,17
126,23,20,5,18
127,23,16,10,19
128,23,21,10,20
129,24,1,1,1
130,24,9,2,2
131,24,8,6,3
132,24,4,4,4
133,24,3,3,5
134,24,13,6,6
135,24,5,1,7
136,24,2,2,8
137,24,22,11,9
138,24,17,9,10
139,24,10,7,11
140,24,6,3,12
141,24,14,9,13
142,24,15,7,14
143,24,12,4,15
144,24,7,5,16
145,24,16,10,17
146,24,21,10,18
147,24,18,11,19
148,24,20,5,20
149,25,8,6,1
150,25,13,6,2
151,25,1,1,3
152,25,4,4,4
153,25,15,7,5
154,25,5,1,6
155,25,9,2,7
156,25,17,9,8
157,25,14,9,9
158,25,10,7,10
159,25,12,4,11
160,25,2,2,12
161,25,20,5,13
162,25,7,5,14
163,25,3,3,15
164,25,6,3,16
165,25,18,11,17
166,25,22,11,18
167,25,21,10,19
168,25,16,10,20
169,26,5,1,1
170,26,17,9,2
171,26,8,6,3
172,26,1,1,4
173,26,2,2,5
174,26,4,4,6
175,26,12,4,7
176,26,20,5,8
177,26,13,6,9
178,26,9,2,10
179,26,14,9,11
180,26,10,7,12
181,26,7,5,13
182,26,15,7,14
183,26,6,3,15
184,26,22,11,16
185,26,18,11,17
186,26,3,3,18
187,26,16,10,19
188,26,21,10,20
189,27,1,1,1
190,27,13,6,2
191,27,5,1,3
192,27,15,7,4
193,27,4,4,5
194,27,8,6,6
195,27,9,2,7
196,27,17,9,8
197,27,20,5,9
198,27,14,9,10
