resultId,raceId,driverId,constructorId,grid,positionOrder,points,laps,milliseconds,fastestLap,rank,statusId
1,18,1,1,1,1,1000,58,5690616,39,2,1
2,18,2,2,5,2,800,58,5696094,41,3,1
3,18,3,3,7,3,600,58,5698779,41,5,1
4,18,4,4,11,4,500,58,5707797,58,7,1
5,18,5,1,3,5,400,58,5708630,43,1,1
6,18,6,3,13,6,300,57,-1,50,14,11
7,18,7,5,17,7,200,55,-1,22,12,5
8,18,8,6,15,8,100,53,-1,20,4,5
9,18,9,2,2,9,0,47,-1,15,9,4
10,18,10,7,18,10,0,43,-1,23,13,3
11,18,11,8,19,11,0,32,-1,24,15,7
12,18,12,4,20,12,0,30,-1,20,16,8
13,18,13,6,4,13,0,29,-1,23,6,5
14,18,14,9,8,14,0,25,-1,21,11,4
15,18,15,7,6,15,0,19,-1,18,10,10
16,18,16,10,22,16,0,8,-1,8,17,9
17,18,17,9,14,17,0,0,-1,-1,-1,4
18,18,18,11,12,18,0,0,-1,-1,-1,4
19,18,19,8,21,19,0,0,-1,-1,-1,4
20,18,20,5,9,20,0,0,-1,-1,-1,4
21,18,21,10,16,21,0,0,-1,-1,-1,4
22,18,22,11,10,22,0,58,-1,44,8,2
23,19,8,6,2,1,1000,56,5478555,37,2,1
24,19,9,2,4,2,800,56,5498125,39,6,1
25,19,5,1,8,3,600,56,5517005,19,7,1
26,19,15,7,3,4,500,56,5524387,53,8,1
27,19,1,1,9,5,400,56,5525103,53,3,1
28,19,2,2,5,6,300,56,5528388,55,1,1
29,19,17,9,6,7,200,56,5546685,53,12,1
30,19,4,4,7,8,100,56,5548596,40,10,1
31,19,14,9,12,9,0,56,5554775,55,9,1
32,19,18,11,11,10,0,56,5564769,56,4,1
33,19,12,4,13,11,0,56,5570757,52,15,1
34,19,21,10,17,12,0,55,-1,52,16,11
35,19,22,11,14,13,0,55,-1,55,11,11
36,19,3,3,16,14,0,55,-1,55,13,11
37,19,19,8,21,15,0,55,-1,55,18,11
38,19,11,8,19,16,0,54,-1,53,19,12
39,19,6,3,22,17,0,54,-1,19,17,12
40,19,20,5,15,18,0,39,-1,37,14,5
41,19,13,6,1,19,0,30,-1,15,5,20
42,19,16,10,20,20,0,5,-1,3,20,9
43,19,10,7,10,21,0,1,-1,-1,-1,4
44,19,7,5,18,22,0,0,-1,-1,-1,20
45,20,13,6,2,1,1000,57,5466970,38,3,1
46,20,8,6,4,2,800,57,5470309,35,4,1
47,20,9,2,1,3,600,57,5471968,55,5,1
48,20,2,2,6,4,500,57,5475379,48,2,1
49,20,5,1,5,5,400,57,5493759,49,1,1
50,20,15,7,7,6,300,57,5508284,45,7,1
51,20,17,9,11,7,200,57,5512443,51,8,1
52,20,3,3,8,8,100,57,5522859,57,6,1
53,20,10,7,13,9,0,57,5536470,56,9,1
