gameid,leagueid,hometeamid,awayteamid,year,homegoals,awaygoals
81,1,89,82,2015,1,0
82,1,73,71,2015,0,1
83,1,72,90,2015,2,2
84,1,75,77,2015,4,2
85,1,79,78,2015,1,3
86,1,80,84,2015,2,2
87,1,86,74,2015,2,2
88,1,83,81,2015,0,2
89,1,85,87,2015,0,1
90,1,76,88,2015,0,3
91,1,71,89,2015,0,1
92,1,74,72,2015,0,3
93,1,77,79,2015,1,3
94,1,84,86,2015,2,0
95,1,82,85,2015,2,2
96,1,90,76,2015,0,0
97,1,81,75,2015,1,2
98,1,78,83,2015,1,2
99,1,88,80,2015,3,0
100,1,87,73,2015,1,0
101,1,89,86,2015,0,0
102,1,79,85,2015,1,1
103,1,77,84,2015,1,1
104,1,78,71,2015,2,1
105,1,75,82,2015,1,1
106,1,81,73,2015,3,4
107,1,76,80,2015,2,3
108,1,72,88,2015,0,2
109,1,90,74,2015,0,0
110,1,83,87,2015,0,0
111,1,86,83,2015,0,1
112,1,85,76,2015,0,1
113,1,71,77,2015,2,2
114,1,73,75,2015,1,1
115,1,80,78,2015,1,2
116,1,87,81,2015,0,3
117,1,88,90,2015,2,0
118,1,82,72,2015,0,0
119,1,74,79,2015,3,0
120,1,84,89,2015,2,1
121,1,72,80,2015,3,1
122,1,83,85,2015,2,0
123,1,78,88,2015,0,1
124,1,90,84,2015,1,0
125,1,76,74,2015,0,0
126,1,79,73,2015,3,1
127,1,89,87,2015,3,1
128,1,77,82,2015,0,1
129,1,75,71,2015,3,2
130,1,81,86,2015,2,0
131,1,80,83,2015,2,0
132,1,86,90,2015,1,2
133,1,71,76,2015,0,1
134,1,73,77,2015,2,0
135,1,85,75,2015,2,2
136,1,84,72,2015,0,0
137,1,88,81,2015,1,2
138,1,82,78,2015,1,0
139,1,74,89,2015,2,3
140,1,87,79,2015,1,1
141,1,82,88,2015,4,1
142,1,74,84,2015,3,1
143,1,85,73,2015,2,1
144,1,75,83,2015,2,5
145,1,87,71,2015,3,2
146,1,89,77,2015,3,0
147,1,81,79,2015,2,2
148,1,86,80,2015,2,2
149,1,90,78,2015,0,1
150,1,76,72,2015,2,3
151,1,78,76,2015,2,0
152,1,71,85,2015,0,1
153,1,73,90,2015,1,1
154,1,88,86,2015,6,1
155,1,79,75,2015,1,2
156,1,77,81,2015,2,2
157,1,80,74,2015,1,3
158,1,72,87,2015,1,1
159,1,84,82,2015,2,2
160,1,83,89,2015,3,0
161,1,82,87,2015,0,0
162,1,74,75,2015,2,2
163,1,76,77,2015,1,0
164,1,80,71,2015,2,0
165,1,78,81,2015,1,3
166,1,72,89,2015,0,3
167,1,88,73,2015,5,1
168,1,90,83,2015,0,3
169,1,86,79,2015,6,2
170,1,84,85,2015,0,1
171,1,71,84,2015,1,2
172,1,75,78,2015,1,0
173,1,81,80,2015,2,1
174,1,79,76,2015,0,1
175,1,85,90,2015,0,2
176,1,83,72,2015,2,1
177,1,77,86,2015,3,0
178,1,73,82,2015,1,5
179,1,89,88,2015,0,0
180,1,87,74,2015,1,1
181,1,80,87,2015,1,3
182,1,78,89,2015,0,0
183,1,88,79,2015,2,1
184,1,86,85,2015,0,0
185,1,84,83,2015,0,3
186,1,90,81,2015,2,0
187,1,76,75,2015,2,3
188,1,72,77,2015,6,2
189,1,74,73,2015,2,0
190,1,82,71,2015,3,1
191,1,73,86,2015,0,1
192,1,75,90,2015,2,1
193,1,89,76,2015,2,0
