Train_No,Train_Name,distance,Source_Station_Name,day_of_departure,Destination_Station_Name,day_of_arrival,departure_time,arrival_time
107,SWV-MAO-VLNK,2392,SAWANTWADI ROAD,Saturday,MADGOAN JN.,Tuesday,7:17:00,22:38:42
108,VLNK-MAO-SWV,2408,MADGOAN JN.,Friday,SAWANTWADI ROAD,Sunday,7:39:35,20:38:48
128,MAO-KOP SPEC,2330,MADGOAN JN.,Friday,CHHATRAPATI SHAHU MAHARAJ TERMINUS,Saturday,4:09:32,5:41:24
290,PALACE ON WH,427,DELHI-SAFDAR JANG,Wednesday,DELHI-SAFDAR JANG,Monday,6:18:38,7:34:34
401,BSB BHARATDA,1592,AURANGABAD,Saturday,VARANASI JN.,Friday,13:47:15,13:18:26
421,LKO-SVDK FTR,1892,LUCKNOW JN.,Tuesday,SHRI MATA VAISHNO DEVI KATRA,Saturday,15:58:02,5:10:35
422,SVDK-LKO FTR,2092,SHRI MATA VAISHNO DEVI KATRA,Monday,LUCKNOW JN.,Monday,22:39:18,11:01:09
477,FTR TRAIN NO,1905,SIRSA,Sunday,SIRSA,Tuesday,10:29:31,5:42:41
502,RJPB-UMB FTR,1598,RAJENDRANAGAR TERMINAL,Monday,AMBALA CANTT JN,Monday,8:54:01,0:18:03
504,PNBE-BTI FTR,97,PATNA JN.,Wednesday,BATHINDA JN,Tuesday,11:48:24,19:39:47
506,PNBE-PTA FTR,662,PATNA JN.,Friday,PATIALA,Thursday,16:56:44,0:49:33
557,RSD-PJP BSF,1344,URKURA,Wednesday,PANJIPARA,Wednesday,6:44:37,21:19:17
22439,SVDK VANDEBHARAT,1893,NEW DELHI,Friday,SHMATA VD KATRA,Tuesday,4:38:07,0:48:15
604,PNBE-ASR FTR,698,PATNA JN.,Thursday,AMRITSAR JN.,Tuesday,17:45:13,22:21:47
1011,CSMT-NGP SF,883,CST-MUMBAI,Thursday,NAGPUR JN.(CR),Friday,8:54:26,0:30:47
1037,LTT-SWV SPL,57,LOKMANYA TILAK TERMINUS,Tuesday,SAWANTWADI ROAD,Friday,6:41:41,17:04:30
1038,SWV-LTT SPL,1660,SAWANTWADI ROAD,Tuesday,LOKMANYA TILAK TERMINUS,Friday,23:07:34,0:04:17
1045,LTT-KRMI SPL,2633,LOKMANYA TILAK TERMINUS,Thursday,KARMALI,Sunday,19:31:21,18:36:54
1119,AJNI-KRMI SP,2938,AJNI,Monday,KARMALI,Thursday,15:46:41,1:00:22
1120,KRMI-AJNI SP,314,KARMALI,Sunday,AJNI,Thursday,10:20:51,5:55:57
1122,KRMI-CSMT SP,874,KARMALI,Friday,CST-MUMBAI,Monday,2:04:06,12:28:35
1196,NGP-KRMI SPL,2617,NAGPUR JN.(CR),Saturday,KARMALI,Saturday,22:50:04,16:26:13
1301,PUNE-MAJN WE,99,PUNE JN.,Monday,MANGALORE JN,Saturday,14:18:50,21:47:20
1302,MAJN-PUNE WE,1120,MANGALORE JN,Tuesday,PUNE JN.,Saturday,8:24:29,10:14:38
1442,DSJ-KK MTY S,2041,DELHI-SAFDAR JANG,Tuesday,KHADKI,Monday,0:27:11,22:05:56
1655,PUNE-JBP SPL,2339,PUNE JN.,Wednesday,JABALPUR,Wednesday,9:44:32,5:21:51
1656,JBP-PUNE SPL,2678,JABALPUR,Friday,PUNE JN.,Thursday,8:27:51,23:20:28
1705,BDTS-JBP SF,278,BANDRA TERMINUS,Friday,JABALPUR,Friday,6:26:27,0:18:04
1706,JBP-BDTS SF,1277,JABALPUR,Saturday,BANDRA TERMINUS,Sunday,1:20:59,1:13:44
1707,JBP-ATT BI-W,41,JABALPUR,Thursday,ATARI JN,Friday,7:55:47,21:28:16
1708,ATT-JBP BI-W,2384,ATARI JN,Tuesday,JABALPUR,Sunday,5:16:28,9:46:21
2025,CSMT-KRMI SF,413,CST-MUMBAI,Tuesday,KARMALI,Friday,9:02:04,3:10:02
2026,KRMI-CSMT SF,989,KARMALI,Monday,CST-MUMBAI,Wednesday,20:35:04,5:42:11
2191,JBP-SRC SF S,123,JABALPUR,Tuesday,SANTRAGACHI JN.,Friday,15:32:14,20:28:44
2192,SRC-JBP SF S,1873,SANTRAGACHI JN.,Wednesday,JABALPUR,Wednesday,15:11:02,1:21:27
2195,REWA-BPL SF,2210,REWA,Thursday,BHOPAL,Monday,1:34:16,0:57:16
2196,BPL-REWA SF,1060,BHOPAL,Monday,REWA,Tuesday,14:59:22,21:14:31
2515,TVC-SCL SPL,1279,TRIVANDRUM CENTRAL,Wednesday,SILCHAR,Thursday,7:49:39,20:33:49
2651,PLNI-POY EXP,484,PALANI,Monday,POLLACHI,Monday,1:05:52,6:18:44
2652,POY-PLNI EXP,1560,POLLACHI,Thursday,PALANI,Wednesday,1:19:52,22:47:43
2731,HYB-JP HSP,608,HYDERABAD DECCAN,Thursday,JAIPUR JN.,Friday,17:29:49,8:59:52
2732,JP-HYB SPECI,1728,JAIPUR JN.,Monday,HYDERABAD DECCAN,Wednesday,10:32:04,12:56:18
2821,PUNE-SRC AC,2550,PUNE JN.,Friday,SANTRAGACHI JN.,Friday,13:34:33,1:33:40
2822,SRC-PUNE  AC,2045,SANTRAGACHI JN.,Friday,PUNE JN.,Friday,2:34:30,0:35:47
2833,RJT-SRC SF A,1647,RAJKOT,Thursday,SANTRAGACHI JN.,Monday,0:40:26,23:17:03
2834,SRC-RJT SF A,2094,SANTRAGACHI JN.,Saturday,RAJKOT,Thursday,2:00:57,23:29:58
2841,SRC MAS SPL,2169,SANTRAGACHI JN.,Wednesday,CHENNAI CENTRAL,Friday,7:11:17,11:23:12
2842,MAS SRC SPL,1110,CHENNAI CENTRAL,Wednesday,SANTRAGACHI JN.,Monday,23:52:50,9:14:55
2845,PUNE HTE SPL,2033,PUNE JN.,Thursday,HATIA,Wednesday,1:23:17,5:59:09
2846,HTE-PUNE SPL,1917,HATIA,Friday,PUNE JN.,Saturday,18:20:34,10:46:36
3101,KOAA PURI SP,648,KOLKATA,Friday,PURI,Tuesday,11:32:54,2:45:07
3102,PURI KOAA SP,1865,PURI,Sunday,KOLKATA,Thursday,16:25:18,7:17:58
3301,ASN-DHN MEMU,813,ASANSOL MAIN,Wednesday,DHANBAD JN.,Wednesday,19:07:55,4:25:32
3302,DHN-ASN MEMU,2768,DHANBAD JN.,Monday,ASANSOL MAIN,Thursday,2:14:37,4:09:13
3305,DHN-KUSUNDA,2011,DHANBAD JN.,Saturday,KUSUNDA,Saturday,13:45:13,8:44:17
3306,KUSUNDA-DHN,1723,KUSUNDA,Friday,DHANBAD JN.,Friday,5:01:03,14:11:02
3307,SZE-PLJE MEM,927,SONARDIH,Wednesday,PHULWARTANR,Saturday,17:06:28,8:28:35
3308,PLJE-SZE MEM,1647,PHULWARTANR,Friday,SONARDIH,Wednesday,18:20:08,21:46:02
